smiles,logp,mw,tpsa,hbd,hba,rotbonds,qed,sas
CC(=O)OC[C@@]12C(=O)C[C@H](C)C3(CC3(C)C(=O)CC[C@@H]1C)[C@H]1CC[C@H]2[C@]13COC3(C)C,4.361600000000004,430.58500000000026,69.67,0,5,2,0.6089125594843082,7.44375078364671
C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)Cc1sc(NC)nc12,1.2267999999999992,432.54200000000014,111.91000000000001,4,8,1,0.49395142756955485,7.129083828515516
C=C1CCC[C@]2(C)[C@@H]1C[C@H]3[C@@H](C2)OC(=O)C3=CO,3.1263000000000014,248.32199999999997,46.53,1,3,0,0.3099169917344211,4.481092662764865
C=C1C(=O)O[C@H]2[C@H]1[C@@H](O)CC(=C)[C@@H]1C[C@H](O)[C@](Cl)(Cl)[C@@]13O[C@H]2[C@@H]1O[C@H]13,0.8646999999999998,389.23100000000005,88.52000000000001,2,6,0,0.21018832710286908,7.068417803102313
C=C1C(=O)C23C(OC(=O)C=Cc4ccc(N5CCOCC5)cc4)C1CCC2C12COC3(O)C(O)C1C(C)(C)OC(C)(C)CCC2O,3.024100000000001,637.7700000000002,134.99,3,10,4,0.3341675580598976,6.956477041320536
C=C1C(=O)O[C@H]2[C@H]1[C@@H](OC(C)C)C[C@H](O)[C@H](C)[C@H]3C(=C)C(C)C3[C@H](C)CC[C@@]1(C)O[C@@]2(C)[C@H](C)[C@@H]1C=C(C)C,6.899200000000008,542.8010000000003,64.99000000000001,1,5,3,0.23874335090717372,6.910071622427117
C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,0.3755999999999991,364.4380000000001,107.22000000000001,4,6,0,0.4629811579906462,6.85572903496933
C=C1C(=O)C23C(OC(=O)N4CCN(S(C)(=O)=O)CC4)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,0.09710000000000246,554.6620000000004,153.91,3,9,2,0.4032887588695427,6.846453363667431
C=C(C)C(=O)OC1CC2(C)C(=CC(c3ccoc3)OC(=O)[C@H](O)CC23OC(=O)OC)CCC1(O)C3O,1.8603999999999998,506.50400000000036,161.96,3,11,4,0.23643720313484892,6.832416557700185
C=C1C(=O)C23C(OC(=O)Nc4ccccn4)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,2.0269999999999997,484.5490000000003,138.21,4,8,2,0.46800651240494134,6.76897808999886
C=C1C(=O)C23C(OC(=O)C=Cc4ccc(N5CCOCC5)cc4)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,2.476500000000001,579.6900000000003,125.76000000000002,3,9,4,0.3644243992550064,6.755752431768393
C=C1C(=O)C23C(O)C1CCC2C12C=CCC(C)(C)C1C(O)C3(O)OC2,1.1807999999999998,346.42300000000006,86.99000000000001,3,5,0,0.4528865910251602,7.099790978979683
C=C1C(=O)C23C(=O)C(O)C4C(C)(C)CC5C(=O)OCC54C2CCC1C3OC(=O)c1ccc[nH]1,1.8406999999999993,453.4910000000002,122.75999999999999,2,7,2,0.39792627001072545,6.663115314986648
C=C1C(=O)C23C(OC(=O)N4CCN(c5ccccc5)CC4)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,2.3421000000000007,552.6680000000005,119.77000000000002,3,8,2,0.47868482110967175,6.63613694422402
