smiles,logp,mw,tpsa,hbd,hba,rotbonds,qed,sas
C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C/CC[C@@]1(C)O[C@@H]21,2.7620000000000013,248.32199999999995,38.83,0,3,0,0.2862371144515137,4.722888041376531
C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)CC[C@@H]12,3.5508000000000024,232.32299999999992,26.3,0,2,0,0.3625120259339125,4.229606283681084
C=C1C(=O)O[C@@H]2[C@H]3C(C)=CC[C@@]34O[C@@]4(C)CC[C@@H]12,2.3719,246.30599999999993,38.83,0,3,0,0.28494521165902875,5.179054074365549
C=C1C(=O)[C@]23[C@H](O)[C@H]1CC[C@H]2[C@@]12CO[C@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2O,0.3755999999999991,364.4380000000001,107.22000000000001,4,6,0,0.4629811579906462,6.85572903496933
C=C1C(=O)O[C@H]2[C@H]1CC[C@]1(C)O[C@@]13CC[C@@](C)(O)[C@H]23,1.5667,264.3209999999999,59.06,1,4,0,0.40969202168590463,5.31885610535119
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(O)[C@@H]12,2.3555,248.32199999999995,46.53,1,3,0,0.40647684923116817,4.471168869986213
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)CCl)[C@@H]12,3.1452000000000018,324.804,52.6,0,4,2,0.3387514707391179,4.582899517036628
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)CF)[C@@H]12,2.8759000000000015,308.349,52.6,0,4,2,0.4470316483153444,4.672495670882784
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)CBr)[C@@H]12,3.301300000000002,369.255,52.6,0,4,2,0.3244353551218933,4.619718747805859
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)C(Cl)CC)[C@@H]12,3.9238000000000026,352.858,52.6,0,4,3,0.33410729714390797,4.78385548203601
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)C(C)Br)[C@@H]12,3.6898000000000026,383.282,52.6,0,4,2,0.31594383368526635,4.754545226358631
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)C(Br)CCC)[C@@H]12,4.470000000000004,411.33600000000007,52.6,0,4,4,0.2965362944153297,4.74756337471689
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)C(Cl)C(C)C)[C@@H]12,4.169800000000003,366.885,52.6,0,4,3,0.3253619352283352,4.777392232689472
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)C(Br)C(C)C)[C@@H]12,4.325900000000003,411.336,52.6,0,4,3,0.3003909097529275,4.753490051288782
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)C(Cl)CCCC)[C@@H]12,4.704000000000004,380.9120000000001,52.6,0,4,5,0.2999127982364422,4.69220034319096
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)C(Br)CCCC)[C@@H]12,4.8601000000000045,425.3630000000001,52.6,0,4,5,0.2732907787863944,4.690078566376226
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)CC)[C@@H]12,3.3164000000000016,304.386,52.6,0,4,2,0.44599388338861584,4.45047951703663
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)C(C)C)[C@@H]12,3.562400000000002,318.413,52.6,0,4,2,0.44364054820777904,4.462933228109066
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)CCCC)[C@@H]12,4.096600000000003,332.4400000000001,52.6,0,4,4,0.44178527596926215,4.336088474329402
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)CCC(C)C)[C@@H]12,4.342600000000004,346.4670000000001,52.6,0,4,4,0.4314987099111336,4.380717169782171
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)C3CCCCC3)[C@@H]12,4.486700000000004,358.4780000000002,52.6,0,4,2,0.414618788618577,4.318281739935241
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)C3CCCCCC3)[C@@H]12,4.876800000000005,372.5050000000002,52.6,0,4,2,0.300065879944496,4.286815603469271
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)C3CCCC3)[C@@H]12,4.096600000000003,344.45100000000014,52.6,0,4,2,0.42990096366234437,4.355280912510032
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)CCCCCC)[C@@H]12,4.876800000000005,360.4940000000002,52.6,0,4,6,0.2932074098454003,4.251520649313534
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)c3ccccc3)[C@@H]12,4.220200000000004,352.43,52.6,0,4,2,0.4542246385917046,4.090374047627549
C=C1C(=O)O[C@H]2[C@H]1CCC(C)=C1CC[C@@](C)(OC(=O)c3ccc(F)cc3)[C@@H]12,4.359300000000004,370.42,52.6,0,4,2,0.4409491849699456,4.125267813995586
