smiles,logp,mw,tpsa,hbd,hba,rotbonds,qed,sas
CC(=O)OC[C@@]12C(=O)C[C@H](C)C3(CC3(C)C(=O)CC[C@@H]1C)[C@H]1CC[C@H]2[C@]13COC3(C)C,4.3616,430.585,69.67,0,5,2,0.608912559,7.443750784
C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)Cc1sc(NC)nc12,1.2268,432.542,111.91,4,8,1,0.493951428,7.129083829
C=C1CCC[C@]2(C)[C@@H]1C[C@H]3[C@@H](C2)OC(=O)C3=CO,3.1263,248.322,46.53,1,3,0,0.309916992,4.481092663
C=C1C(=O)O[C@H]2[C@H]1[C@@H](O)CC(=C)[C@@H]1C[C@H](O)[C@](Cl)(Cl)[C@@]13O[C@H]2[C@@H]1O[C@H]13,0.8647,389.231,88.52,2,6,0,0.210188327,7.068417803
C=C1C(=O)C23C(OC(=O)C=Cc4ccc(N5CCOCC5)cc4)C1CCC2C12COC3(O)C(O)C1C(C)(C)OC(C)(C)CCC2O,3.0241,637.77,134.99,3,10,4,0.334167558,6.956477041
C=C1C(=O)O[C@H]2[C@H]1[C@@H](OC(C)C)C[C@H](O)[C@H](C)[C@H]3C(=C)C(C)C3[C@H](C)CC[C@@]1(C)O[C@@]2(C)[C@H](C)[C@@H]1C=C(C)C,6.8992,542.801,64.99,1,5,3,0.238743351,6.910071622
C=C1C(=O)C23C(O)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,0.3756,364.438,107.22,4,6,0,0.462981158,6.855729035
C=C1C(=O)C23C(OC(=O)N4CCN(S(C)(=O)=O)CC4)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,0.0971,554.662,153.91,3,9,2,0.403288759,6.846453364
C=C(C)C(=O)OC1CC2(C)C(=CC(c3ccoc3)OC(=O)[C@H](O)CC23OC(=O)OC)CCC1(O)C3O,1.8604,506.504,161.96,3,11,4,0.236437203,6.832416558
C=C1C(=O)C23C(OC(=O)Nc4ccccn4)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,2.027,484.549,138.21,4,8,2,0.468006512,6.76897809
C=C1C(=O)C23C(OC(=O)C=Cc4ccc(N5CCOCC5)cc4)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,2.4765,579.69,125.76,3,9,4,0.364424399,6.755752432
C=C1C(=O)C23C(O)C1CCC2C12C=CCC(C)(C)C1C(O)C3(O)OC2,1.1808,346.423,86.99,3,5,0,0.452886591,7.099790979
C=C1C(=O)C23C(=O)C(O)C4C(C)(C)CC5C(=O)OCC54C2CCC1C3OC(=O)c1ccc[nH]1,1.8407,453.491,122.76,2,7,2,0.39792627,6.663115315
C=C1C(=O)C23C(OC(=O)N4CCN(c5ccccc5)CC4)C1CCC2C12COC3(O)C(O)C1C(C)(C)CCC2O,2.3421,552.668,119.77,3,8,2,0.478684821,6.636136944
C=C1C(=O)C23C(=O)C(O)C4C(C)(C)CC5C(=O)OCC54C2CCC1C3OC(=O)c1ccnc(F)c1,2.0467,483.492,119.86,1,8,2,0.29379885,6.5612313
C=C1C(=O)C23C(=O)C(O)C4C(C)(C)CC5C(=O)OCC54C2CCC1C3OC(=O)C1Cc2ccccc2C1,2.6138,504.579,106.97,1,7,2,0.374854706,6.516081504
C=C(C)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C,-0.062,292.287,85.36,1,6,1,0.413811703,6.435039838
C=C1CC(OC(C)C)C2C(=C)C(=O)OC2C(C)C2C(=C)C(=O)OC2C2C1CC(O)C21CO1,2.3376,444.524,94.59,1,7,2,0.302330786,6.369945055
CC(C)(O)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C,-0.8672,310.302,105.59,2,7,1,0.47900256,6.363442227
C=C1C(=O)OC2CC(C)C3CCC4(C)OC34CC1O2,2.1783,264.321,48.06,0,4,0,0.382074932,6.355624594
C=C1C(=O)C23C(OC)Cc2ccccc1C3OC(=O)C1CC(O)C1C(C)=O,1.4508,370.401,89.9,1,6,4,0.595105216,6.287978825
C=C1CCC23OC2(C)CCC2(C)C(=C)C=CC32C1O,3.1375,258.361,32.76,1,2,0,0.534618584,6.22601117
CC1(C)C[C@H]2C=C(C=O)[C@]3(C2=O)CC[C@@H]1O3,1.6583,220.268,43.37,0,3,1,0.631090693,6.21035334
C=C(C)[C@@H]1C(=O)O[C@H]2[C@@H]1CC[C@]1(C)O[C@@]2(C)O[C@@H]1[C@H]1COC2(C)CCCC(=O)OCC12,3.1528,434.529,80.29,0,7,2,0.487821923,6.202404511
O=C1OC2C(CCC3(CC3)C3CCC4(CC4)C23)C1CS1CCCC1,4.3196,348.552,26.3,1,2,2,0.594054535,6.134743898
C=C1CC2(O)OC3(CC2C(C)C)C(C)CCC13,3.1123,236.355,29.46,1,2,1,0.708825985,6.096336934
CC1(C)OC2CC(=O)OCC23C1CC(=O)C1(C)C3CCC2(C)C(c3ccoc3)OC(=O)C3OC321,3.1374,470.518,104.57,0,8,1,0.455458119,6.074316433
CC1=CC2(O)OC3(CC2=C(C)C)C(C)CCC13,3.1765,234.339,29.46,1,2,0,0.652274812,6.025488654
CC1=C2C(=CC(C)(C)C[C@H]2O)[C@@H](OC)C(C)(O)C12C(O)C(C)=C1CCC(C)(O)C21,2.6381,404.547,90.15,4,5,1,0.50464954,5.938144209
C=C1C(=O)OC2CC3(C)CCC(O)C4=C(CC(C)CCC34C)C12,3.7718,316.441,46.53,1,3,0,0.420236833,5.935919703
CC(C)C1CCC2C1(C)CCC3(C)OC3(C)C3OC3=C1CCC(C)(O)C21CCC(=O)OC(C)=O,5.0703,474.638,88.66,1,6,4,0.347619597,5.851258574
C=C1C(=O)O[C@H]2[C@H]3C(C4)=CCCC34[C@]21C,2.2144,202.253,26.3,0,2,0,0.341821807,5.840392445
CC(C)C1CCC2(C)C3CC4C(C13)C42C,3.9607,204.357,0,0,0,1,0.606237778,5.833719543
C=C1CCC2C(C3CCC2C)CCC3OC1(C)C,4.5725,248.41,9.23,0,1,0,0.570456241,5.776191619
CC1(C)OC2CC(=O)OCC23C1CC13COC1(C)C,1.9122,266.337,44.76,0,4,0,0.628290531,5.739872048
C=C1C(=O)OC2C1CCC(=C)C1(O)C3CC(C)(O3)C21,1.3427,262.305,55.76,1,4,0,0.406500323,5.709162537
C=C1C(=O)OC2C1CCC(C)(O)C13OC1C(O)C(C)(Cl)C23,0.7548,314.765,79.29,2,5,0,0.298519985,5.696468188
C=C1C2CCC3C(C2)(O)C(=O)C3C1C,1.5386,192.258,37.3,1,2,0,0.591015147,5.675436736
CC1(C)[C@H]2[C@H]1[C@@H]1C[C@]1(C(C)=O)[C@@]1(O)[C@H](OCCOC(C)C)CC[C@H]2C(C)C1,3.845,378.553,55.76,1,4,6,0.563437885,5.648685905
CC(=O)OCC12C(O)CC(C)C3(CC(c4ccoc4)OC3=O)C1CCCC21CO1,2.7733,404.459,98.5,1,7,3,0.610855962,5.637292453
C=C1CC[C@@]23[C@@H]([C@@H]12)COC=C(/C)C3C,3.1389,190.286,9.23,0,1,0,0.533140834,5.600520822
C=C1CC(O)C2C(=C)C(=O)C2C2C(=O)C=C2C2C(C)C(=O)CCC12,2.0352,326.392,71.44,1,4,0,0.546076755,5.595561064
C=C1C(=O)OC2C1CCC(C)(O)C13OC1C(O)C(C)(O)C23,-0.4917,296.319,99.52,3,6,0,0.316768759,5.592221485
O=C1O[C@H]2[C@@H](CCC3(CC3)[C@H]3CCC4(CC4)C4(CC4)[C@H]23)[C@@H]1COC(C)(C)C,5.1199,372.549,35.53,0,3,2,0.631203837,5.564337369
C=C1C(=O)O[C@@H]2[C@H]1CC[C@H](C)[C@]1(O)CC[C@H](OC)C[C@@]2(C)[C@@H]1O,1.8113,324.417,75.99,2,5,1,0.568196054,5.51641241
CC(C)[C@]12[C@H](O)C[C@H](O)[C@H]1C[C@H]1O[C@@]21OC(=O)[C@](O)C1CO1,-0.28421,313.326,112.05,3,7,4,0.482997253,5.506737915
C=C1CC(O)C2C(C)C(=O)OC2C2C1CC(O)C21CO1,0.2509,280.32,79.29,2,5,0,0.377660758,5.499205931
CC(=O)C1(O)CCC2C3C=C(C)CC/C2C13,2.3188,220.312,37.3,1,2,1,0.688524577,5.490621961
CC(=O)OC1CCC2(C)C(CC3OC34C2C(O)CC2(C)C(C(C)CCCC(C)C)CCC24C)C1(C)C,7.1677,502.78,59.06,1,4,6,0.308942694,5.4745971
O=C1O[C@H]2[C@@H](CCC3(CC3)C3CC4(CC4)[C@H]32)[C@@H]1Cn1c(=O)c(C=O)cc(=O)cc1,2.1691,395.455,82.44,0,6,3,0.578665521,5.468548219
